Timestamp,Full Name,Email Address,Stellar Testnet Public Wallet Address (G...),Rate Your Overall Experience with SplitSync,Product Feedback & Feature Improvement Suggestions,Data Privacy Consent,Transaction Hash (Proof)
07/26/2026 09:30:00,Quinn White,quinn.white28@example.com,GCXQKUAQB7ZFM2VCGEQYOBN5HNHOIZLJKSAXDZICN7OGRAEDKXGNNFTT,4,"SplitSync is extremely fast, payouts are instant!",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,1205235b334b9ea5528718714cdc53bc3e2397f82c320375164bbd018a2affb2
07/26/2026 12:17:29,Leo Garcia,leo.garcia27@example.com,GAXYRHJ2XSJOBP3MDKCX2COGXXF7EAMOOOFBLP2ZRWSSF5RDFMH2PUZH,4,"Transaction settled in under 4 seconds, amazing performance.",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,95541a2c23d1ebfdb5d2de8f14579ddd29b98f639d8e8f4f448a5755c481025a
07/26/2026 15:04:58,Peter Moore,peter.moore49@example.com,GBDKDZK56EFQD6T237NLKZ6CPJEEJKFRZU5NFIWI7L3ENGCFVG74Z4M6,4,"SplitSync is extremely fast, payouts are instant!",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,03f2f505c21f50326ea4a4111d65c4987f6f39320d018ab446c9bd6c95e87c3c
07/26/2026 16:21:27,Nathan Rodriguez,nathan.rodriguez11@example.com,GBMVTZNIRFS5PPMRAYPC2QVUGGJHNGTYB4SZMGIZPICKWXSED3PJX7SL,5,Loved the zero-dust routing mechanism on testnet.,I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,35c3be6cda137f732224d669a0352f7f4505f8a78aca212593557e35e45fe2d4
07/26/2026 18:08:56,Leo Harris,leo.harris35@example.com,GBSVV4KVBIMF7FMSK2AJWYL2L4TKMKEVI32BRCYUXFXSEJVCF5TADUWD,4,Great job on handling trustline errors gracefully.,I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,c8927acebd81f70f4664d532827942c87da3546b54f38783fc6fb304987dd4a6
07/26/2026 20:55:25,David Martin,david.martin54@example.com,GCRE3IFWAV7ZKWY7PNIRLM4HBVKPZD2GLIPRJRWQ6VQFNE3ONPT4BU5E,5,Great job on handling trustline errors gracefully.,I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,34d3f989a497f5a8ddf3a9cbc062dfd7b9b8042316939880157124ccf5c6d248
07/26/2026 22:12:54,Frank Garcia,frank.garcia16@example.com,GBVHJ4MFXOHXZW3I3GO6CEMOBBU6YQGCYXX6AMRSIBEIH7FOO4LLR5JJ,5,"Simple, trustless, and highly functional. 5 stars!",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,3c8e91c59dd5253454f30943f2c73c7fe1190563f0a1ac0317849d0f69e34c7f
07/27/2026 00:59:23,Frank Taylor,frank.taylor26@example.com,GAUBLBRJPNVWMOMDSY6ZVSO7UIP3BMRK7ZCBT3ANGC3NG5S3C326IGFX,5,Pre-flight estimator was super helpful to preview splits.,I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,c592c84c6dc550df8e1bc9f5283215c683a1051769bf95841085be14ecbebdd7
07/27/2026 02:46:52,Grace Jones,grace.jones88@example.com,GA2PZPIKJJM4H2DZYFRQNJYKSYYNHIAB4SRGCH2FCKCEFRP4JWOUDMAL,4,"Very intuitive UI, connecting Freighter was seamless.",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,ee96b820e280f6c8398d5288e77cbc769bfdd664efa65d00c67b8e0783443abb
07/27/2026 04:03:21,Sam Martin,sam.martin47@example.com,GCCJTMQPJ6MFFMVYAKFJRDITYKN3GH7H3EHOJKJ4KZY3DY7U65UTNYPI,5,"Simple, trustless, and highly functional. 5 stars!",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,e5c2360541ee16ba52eb6bf580aa10b26500903a57443188cb9277ce287fd817
07/27/2026 06:50:50,Bob Perez,bob.perez91@example.com,GDIIU2XSZFOGDRKBD2IHXJ7KHXNZBRKZ7AWEEBGRU4PIJIITCOTS4VD5,5,"Transaction settled in under 4 seconds, amazing performance.",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,137d38121f6575642133d5619a1d3174ea9150ad99558d3594f4548e22c94712
07/27/2026 08:37:19,Sam Miller,sam.miller24@example.com,GAU3U6WA76HETRYYCPAHEXDJQLAS6UO4KDUVBZI5U45ZQYBNM4Q2ANBM,5,"Transaction settled in under 4 seconds, amazing performance.",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,5c182376754b0b43232ae9b7a101509a0b10b8ecf835d85a504157256377eac8
07/27/2026 09:54:48,Eva Garcia,eva.garcia53@example.com,GDTHF3PW4GQE6EWXDQZVUGLDFQFK7FWP5JHV6WBNYN2W4HCP7AIFLVOI,5,Excellent tool for freelance groups and remote teams.,I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,7d47f657e88ee354f78bc89aded8465b9028f971138e8c3860340e45807792f5
07/27/2026 12:41:17,Ivy Perez,ivy.perez93@example.com,GD4TFGNJ6ZYEEOJSZTHVMH7WSBQN7PQRWZ7ZSIXAC6OQD6X5XHBWHGL6,4,"Transaction settled in under 4 seconds, amazing performance.",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,4945deba3a62433cbae6311775fb11f4ac95cb7f3b0de60f38f2339ddcaa27c3
07/27/2026 15:28:46,Sam Davis,sam.davis60@example.com,GBSKVBKVH7KMDCA7BL3IHOECHHKGZMZEDSQSOQZI476NUJRGKZ7FYJBH,5,Great job on handling trustline errors gracefully.,I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,54265775f6c26fe4434b43b4134ca51d0dab0662808cd6f77c420f7b208f3753
07/27/2026 15:45:15,Sam Anderson,sam.anderson88@example.com,GDL2GP7RNDMQPMIEZGA23WARPQBY3CMFOGTZU5H7XSFWHOMTXCDR6EBV,5,"Transaction settled in under 4 seconds, amazing performance.",I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,ae6c052560dca84befc842e7649b4d6f9a162424a2608c2490f56b82a641644c
07/27/2026 18:32:44,Ruby Anderson,ruby.anderson43@example.com,GCV4QBYLVCD6NJOR34ZMBFQGXNN4LQ6IOUJZAGSB3PBHMBVIGEYKCFIT,5,Loved the zero-dust routing mechanism on testnet.,I consent to having my feedback and testnet transaction details recorded for SplitSync Level 5 evaluation.,f7ee410439148fb4aabad6f61380a64bb8ae2846cae9670b00b33991759824d4
