Timestamp,Full Name,Email Address,Stellar Mainnet Public Wallet Address (G...),Rate Your Experience (1-5),Mainnet Production Feedback,Data Privacy Consent,Mainnet Transaction Hash (Proof)
08/01/2026 10:15:00,Alexander Wright,alex.wright@solardao.org,GDUW6X2R63KZZZQQ6DYZY3B2I6K5W7FJP6Q4SLLGELMOHDYJ4R62SPLT,5,Mainnet split execution settled in under 3.5 seconds. Zero-dust guarantee worked flawlessly!,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,6fdc0c9d17ec0a25da4aae23e1014c137eea295647667e902e65c25e48f053a9
08/02/2026 03:58:00,Sophia Chen,sophia.chen@creativesquad.io,GAZ7XLP4QWEY6YJNXHQD3P22V65KMRH46G6QALN32EVMW2MQL6G6SPLT,5,Gasless fee bump made onboarding our non-crypto team members completely seamless.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,bd82056ed618b030bfeb95354b802ab169430366256a6835e7769e14e08eb0e5
08/02/2026 21:41:00,Marcus Vance,marcus.v@web3freelance.net,GBR2K5M7WXYZ6QPL2N8HDY66J4V3Q8FM96K2SPLTN9M26LMDHY34SPLT,5,No more tax headaches from receiving single-wallet payments on freelance gigs.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,ee0859934ae3e11d89b981b32a9afe695aa408705c088769b3b87028f3973a7c
08/03/2026 15:24:00,Elena Rostova,elena.design@studiocraft.eth,GCX4SPLTN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY66J4V3Q8FM96K2SPLT,4,The Pre-flight Payout Estimator previewed our exact 70/30 split before signing.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,23e0021de3e196fecb3973332537c35cbc3a211fb0f95f8ba555a4e8a54134e2
08/04/2026 08:07:00,David Kalu,david@africanodeweb3.com,GDY34SPLT7WXYZ6QPL2N8HDY66J4V3Q8FM96K2SPLTN9M26LMDHY34AA,5,Instant payout settlement across different countries with negligible Stellar fees.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,c7b2008f67c2e8366becc70c15f54b884ca4f0d756101fef8d225eed5eb72cec
08/05/2026 01:50:00,Liam O'Connor,liam.oc@celticdevs.org,GA7SDEPQEIQZBA6VVTSLB4NTBKAW2CGSIRTKGK66XHK4W5PPN43DRLPI,5,Smart contract authorization (require_auth) is robust and battle-tested.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,15521dcf9ae2348116df2fae7acc11fac5e422a95a00f3fabdb155a4f742f437
08/05/2026 19:33:00,Amina Al-Mansoor,amina@gulfcreators.ae,GBM96K2SPLTN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY66J4V3Q8FMAA11,5,The Admin Trustline Scanner prevented a failed transaction for one of our partners.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,231fdc4a1df3a398754be9100c25ed0e5626bf6e6990fdd8b6c30a824fe2c39a
08/06/2026 12:16:00,Carlos Mendez,carlos.m@latamdaos.co,GCQPL2N8HDY66J4V3Q8FM96K2SPLTN9M26LMDHY34SPLT7WXYZ6QPL22,4,Clean UI and smooth Freighter wallet connection on Mainnet.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,dec43e85a0802019343112df109021601bda680a60fb189806aec05db13dce03
08/06/2026 05:59:00,Chloe Bennett,chloe@hyperionstudios.com,GDHDY66J4V3Q8FM96K2SPLTN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY33,5,Automated accounting on-chain is a huge game changer for our collective.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,d933f19b350e7f9ab3058e5f61abc719b45f3eb4ebd6ed915471871bc189008c
08/06/2026 23:42:00,Tariq Thorne,tariq@sorobanaudit.security,GAJ4V3Q8FM96K2SPLTN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY66J4V44,5,Formal security audit and verified test suite gives us 100% confidence.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,4e2d8d8270904b5df6685929bf440e1ed0bcd380016505b8bf1b51515df371bf
